name,state,district,source,latitude,longitude,geocode_quality
Avallapalli(Uzhavar Sandhai ) APMC,Tamil Nadu,Krishnagiri,derived_from_market_records,12.51921,78.21382,PPL
Anna nagar(Uzhavar Sandhai ) APMC,Tamil Nadu,Madurai,derived_from_market_records,9.919,78.11953,PPLA2
Chokkikulam(Uzhavar Sandhai ) APMC,Tamil Nadu,Madurai,derived_from_market_records,9.919,78.11953,PPLA2
Palanganatham(Uzhavar Sandhai ) APMC,Tamil Nadu,Madurai,derived_from_market_records,9.919,78.11953,PPLA2
Usilampatti(Uzhavar Sandhai ) APMC,Tamil Nadu,Madurai,derived_from_market_records,9.919,78.11953,PPLA2
Thirumangalam(Uzhavar Sandhai ) APMC,Tamil Nadu,Madurai,derived_from_market_records,9.919,78.11953,PPLA2
Melur(Uzhavar Sandhai ) APMC,Tamil Nadu,Madurai,derived_from_market_records,9.919,78.11953,PPLA2
Anaiyur(Uzhavar Sandhai ) APMC,Tamil Nadu,Madurai,derived_from_market_records,9.919,78.11953,PPLA2
Sirkali(Uzhavar Sandhai ) APMC,Tamil Nadu,Nagapattinam,derived_from_market_records,10.76377,79.84313,PPL
Namakkal(Uzhavar Sandhai ) APMC,Tamil Nadu,Namakkal,derived_from_market_records,11.22126,78.16524,PPL
Rasipuram(Uzhavar Sandhai ) APMC,Tamil Nadu,Namakkal,derived_from_market_records,11.22126,78.16524,PPL
Kumarapalayam(Uzhavar Sandhai ) APMC,Tamil Nadu,Namakkal,derived_from_market_records,11.22126,78.16524,PPL
Mohanur(Uzhavar Sandhai ) APMC,Tamil Nadu,Namakkal,derived_from_market_records,11.22126,78.16524,PPL
Udhagamandalam(Uzhavar Sandhai ) APMC,Tamil Nadu,The Nilgiris,derived_from_market_records,,,
Perambalur(Uzhavar Sandhai ) APMC,Tamil Nadu,Perambalur,derived_from_market_records,11.23333,78.88333,PPL
Pudukottai(Uzhavar Sandhai ) APMC,Tamil Nadu,Pudukkottai,derived_from_market_records,10.38128,78.82141,PPL
Aranthangi(Uzhavar Sandhai ) APMC,Tamil Nadu,Pudukkottai,derived_from_market_records,10.38128,78.82141,PPL
Alangudi(Uzhavar Sandhai ) APMC,Tamil Nadu,Pudukkottai,derived_from_market_records,10.38128,78.82141,PPL
Viralimalai(Uzhavar Sandhai ) APMC,Tamil Nadu,Pudukkottai,derived_from_market_records,10.38128,78.82141,PPL
Ramanathapuram(Uzhavar Sandhai ) APMC,Tamil Nadu,Ramanathapuram,derived_from_market_records,9.37158,78.83077,PPL
Paramakudi(Uzhavar Sandhai ) APMC,Tamil Nadu,Ramanathapuram,derived_from_market_records,9.37158,78.83077,PPL
Sooramangalam(Uzhavar Sandhai ) APMC,Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Thathakapatti(Uzhavar Sandhai ) APMC,Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Mettur(Uzhavar Sandhai ) APMC,Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Attayampatti(Uzhavar Sandhai ) APMC,Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Hasthampatti(Uzhavar Sandhai ) APMC,Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Elampillai(Uzhavar Sandhai ) APMC,Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Jalagandapuram(Uzhavar Sandhai ) APMC,Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Edapadi (Uzhavar Sandhai ) APMC,Tamil Nadu,Salem,derived_from_market_records,11.65376,78.15538,PPL
Sivagangai (Uzhavar Sandhai ) APMC,Tamil Nadu,Sivaganga,derived_from_market_records,9.84701,78.48358,PPL
Devakottai (Uzhavar Sandhai ) APMC,Tamil Nadu,Sivaganga,derived_from_market_records,9.84701,78.48358,PPL
Karaikudi(Uzhavar Sandhai ) APMC,Tamil Nadu,Sivaganga,derived_from_market_records,9.84701,78.48358,PPL
Tirupatthur(Uzhavar Sandhai ) APMC,Tamil Nadu,Sivaganga,derived_from_market_records,9.84701,78.48358,PPL
Singampunari(Uzhavar Sandhai ) APMC,Tamil Nadu,Sivaganga,derived_from_market_records,9.84701,78.48358,PPL
Pattukottai(Uzhavar Sandhai ) APMC,Tamil Nadu,Thanjavur,derived_from_market_records,10.78523,79.13909,PPL
Theni(Uzhavar Sandhai ) APMC,Tamil Nadu,Theni,derived_from_market_records,10.01115,77.47772,PPLX
Kambam(Uzhavar Sandhai ) APMC,Tamil Nadu,Theni,derived_from_market_records,10.01115,77.47772,PPLX
Bodinayakanur(Uzhavar Sandhai ) APMC,Tamil Nadu,Theni,derived_from_market_records,10.01115,77.47772,PPLX
Devaram(Uzhavar Sandhai ) APMC,Tamil Nadu,Theni,derived_from_market_records,10.01115,77.47772,PPLX
Chinnamanur(Uzhavar Sandhai ) APMC,Tamil Nadu,Theni,derived_from_market_records,10.01115,77.47772,PPLX
Palayamkottai(Uzhavar Sandhai ) APMC,Tamil Nadu,Thirunelveli,derived_from_market_records,,,
Kandiyaperi(Uzhavar Sandhai ) APMC,Tamil Nadu,Thirunelveli,derived_from_market_records,,,
NGO Colony(Uzhavar Sandhai ) APMC,Tamil Nadu,Thirunelveli,derived_from_market_records,,,
Tiruthuraipoondi(Uzhavar Sandhai ) APMC,Tamil Nadu,Thiruvarur,derived_from_market_records,10.77269,79.6368,PPL
Mannargudi II(Uzhavar Sandhai ) APMC,Tamil Nadu,Thiruvarur,derived_from_market_records,10.77269,79.6368,PPL
Kovilpatti(Uzhavar Sandhai ) APMC,Tamil Nadu,Tuticorin,derived_from_market_records,8.76735,78.13425,PPL
Tiruvannamalai(Uzhavar Sandhai ) APMC,Tamil Nadu,Thiruvannamalai,derived_from_market_records,,,
Polur(Uzhavar Sandhai ) APMC,Tamil Nadu,Thiruvannamalai,derived_from_market_records,,,
Arani(Uzhavar Sandhai ) APMC,Tamil Nadu,Thiruvannamalai,derived_from_market_records,,,
